content,dept
약국 개설 등록 관련해서 문제가 있어서 민원을 신청합니다. 처리 부탁드립니다.,보건소 위생과
제가 약국을 개설하고자 하여 '약국개설등록' 관련 민원을 신청합니다.,보건소 위생과
의료기관 개설 또는 변경을 위한 신고 관련하여 처리 가능한 민원 신청을 부탁드립니다.,보건소 위생과
의료기관 개설신고 또는 변경신고 관련하여 민원신청합니다.,보건소 위생과
"저희 회사는 수산물 가공업을 운영하고 있으며, 해당 업무를 수행하기 위해 '수산물가공업 등록'을 신청하고자 합니다. 관련 서류 및 절차에 대해 안내 부탁드립니다. 감사합니다.",주민생활지원국 경제통상과
"'수산물가공업 등록'에 관련하여, 제가 민원을 신청합니다.",주민생활지원국 경제통상과
비디오물 제작(배급)업 변경신고 관련하여 신청합니다. 관련 서류와 필요한 정보는 제출완료하였습니다. 처리 완료 후 결과에 대해 알려주시면 감사하겠습니다.,문화공보실
"비디오물 제작(배급)업 변경신고를 위한 민원을 제출하고자 합니다. 심사 결과에 따라 변경사항이 승인된다면, 업무를 갱신할 예정입니다. 감사합니다.",문화공보실
가정폭력상담소 변경신고를 접수하려고 합니다. 현재 이용하고 있는 상담소의 위치와 연락처를 수정해야 합니다. 변경된 정보에 따른 조치를 부탁드립니다. 감사합니다.,주민생활지원국 주민복지과
"가정폭력상담소 변경신고로 인해, 가정폭력이 발생하는 위험이 없도록 해주시길 바랍니다.",주민생활지원국 주민복지과
노인여가복지시설 폐지나 휴지 관련 질문이 있어서 신청합니다. 처리 가능한지 답변 부탁드립니다. 감사합니다.,주민생활지원국 주민복지과
노인여가복지시설 폐지 및 휴지 처리에 대해 불만을 제기합니다. 더 나은 대안을 마련하여 주시길 요청드립니다.,주민생활지원국 주민복지과
"변경신고를 통해 먹는물 관련 영업지위 승계를 하고자 합니다. 관련 서류는 준비되어 있으며, 필요한 절차를 따르겠습니다. 감사합니다.",주민생활지원국 경제통상과
"'먹는물 관련 영업지위 승계를 위한 변경신고'와 관련하여, 해당 신고에 대한 처리 상황을 확인하고자 민원을 제기합니다. 최신 정보와 처리 결과에 대한 이메일이나 문자 메시지로의 회신 부탁드립니다. 감사합니다.",주민생활지원국 경제통상과
화물자동차 운송주선사업 영업소허가 관련하여 민원신청합니다. 처리 부탁드립니다.,도시국 교통과
화물자동차 운송주선사업 영업소허가를 신청하고자 합니다.,도시국 교통과
본인은 골재채취업 등록사항 변경신고를 처리받기 위한 민원신청을 합니다. 관련된 처리가 '도시국 교통과'에서 가능한지 확인 부탁드립니다. 감사합니다.,도시국 교통과
골재채취업 등록사항 변경신고를 하려고 합니다.,도시국 교통과
"취득한 토지의 이용목적을 변경하려는 경우, 관련 법규에 따라 '취득토지 이용목적 변경승인'이 필요하다는 것을 알게 되었습니다. 따라서 이에 대한 민원신청을 하고자 합니다. 처리해 주시면 감사하겠습니다.",도시국 토지정보과
'취득토지 이용목적 변경승인' 관련해서 민원 신청합니다.,도시국 토지정보과
'임대주택 분양전환 신고' 관련하여 처리 부탁드립니다.,도시국 건축주택과
저는 '임대주택 분양전환 신고'에 관심이 있어서 민원신청을 합니다. 분양전환 대상인 아파트에 대한 정보와 신청 방법 등에 대한 안내를 부탁드립니다. 감사합니다.,도시국 건축주택과
건설폐기물처리업 휴업(폐업·재개업)신고 관련하여 처리 가능한 민원신청을 제출하고자 합니다. 감사합니다.,주민생활지원국 환경관리과
"건설폐기물처리업을 운영하고 있는데, 휴업을 신청하려고 합니다. 휴업 기간은 약 한 달 정도로 예상하고 있으며, 휴업 기간 동안에는 재개업하지 않을 예정입니다. 신청에 따른 후속 조치에 대해서도 안내를 부탁드리겠습니다.",주민생활지원국 환경관리과
산지전용(변경)허가 관련하여 민원신청합니다. 처리 부탁드립니다.,도시국 도시관리과
저는 산지전용(변경)허가를 받기 위해 민원을 신청합니다.,도시국 도시관리과
"하천점용허가(토지, 하천시설의 점용 등) 관련해서 처리가 가능한 공공기관에 민원 신청합니다. 처리 가능 여부와 절차 안내 부탁드립니다. 감사합니다.",도시국 건설과
하천점용허가 민원 신청합니다. 토지 및 하천시설의 점용에 필요한 서류 및 절차에 대해 상세히 안내 부탁드립니다. 감사합니다.,도시국 건설과
장애인 등록을 신청하고 싶습니다. 어떤 절차를 거쳐야 하는지 안내 부탁드립니다.,주민생활지원국 주민생활지원과
장애인 등록을 위해 신청하고자 합니다. 고맙습니다.,주민생활지원국 주민생활지원과
"건축물 용도변경 허가(신고)에 관한 민원신청서를 제출합니다. 신청하는 건축물은 ○○ 구역 ○블록 ○○○○번지에 위치하고 있으며, 현재 사용중인 용도는 ○○입니다. 변경하고자 하는 용도는 ○○이며, 해당 용도로 변경하기 위해 필요한 조치 및 계획을 적극적으로 수립하여 처리하겠습니다. 신속하게 처리해주시기 바랍니다. 감사합니다.",도시국 건설과
건축물 용도변경 신고를 위한 관련 서류와 절차가 궁금합니다. 추가로 필요한 자료나 비용이 있는지도 알려주세요.,도시국 건설과
"주택조합 설립, 변경 또는 해산을 처리해주시기 바랍니다. 감사합니다.",도시국 건축주택과
주택조합 설립(변경·해산)과 관련하여 민원신청합니다. 감사합니다.,도시국 건축주택과
기타유원시설업을 진행 중인 저는 해당 사업에 필요한 신고 절차를 처리하기 위해 문의드립니다. 해당 신고와 관련된 처리 가능 여부와 절차에 대한 안내 부탁드립니다.,문화공보실
'기타유원시설업 신고'를 위해 민원을 신청합니다. 감사합니다.,문화공보실
